Date	Toyota	Ford	GM
1/15/1996	0.007622304	0	-0.016681541
1/22/1996	-0.003739201	0.022814182	0.033084992
1/29/1996	0.006250527	0.014182305	0.007225805
2/5/1996	0	0.005775278	0
2/12/1996	0.010008964	0.00513289	-0.008243683
2/20/1996	-0.012520291	-0.003415177	0.002202395
2/26/1996	-0.002525933	0.015712625	0.014621853
3/4/1996	-0.012854848	-0.003319464	-0.014621853
3/11/1996	0.009093741	0.016883793	0.011506267
3/18/1996	0.013885487	0.01470545	0.009280498
3/25/1996	0.008735185	0.009702455	-0.001129086
4/1/1996	-0.004878573	0.010970134	0.018960937
4/8/1996	-0.004933999	-0.012487763	0
4/15/1996	0.006105609	0.016896882	0.006750032
4/22/1996	0.006125851	-0.004409119	-0.012508546
4/29/1996	0.003655259	0.010219165	-0.002041525
5/6/1996	-0.002398559	-0.004350232	-0.014077812
5/13/1996	-0.006108025	0.022252105	0.029084315
5/20/1996	0.004851324	-0.013118846	-0.006897357
5/28/1996	0.009645623	0.004260144	-0.00092798
6/3/1996	0	-0.018278656	0.002008123
6/10/1996	0.02307061	-0.007432489	0.002918347
6/17/1996	0.009999695	-0.005026613	-0.0067884
6/24/1996	0.006603214	-0.02123986	-0.020373722
7/1/1996	-0.014371524	-0.013480116	-0.018986755
7/8/1996	-0.012466762	-0.008852169	-0.016658962
7/15/1996	-0.00109683	0.02073659	-0.001062711
7/22/1996	-0.001199709	-0.001601579	-0.003382512
7/29/1996	0.025845767	0.027961863	0.02432685
8/5/1996	-0.012148221	-0.001507096	0.011670804
8/12/1996	0.001065754	-0.00659187	0.006368787
8/19/1996	0.012212952	0.00659187	-0.009340026
8/26/1996	-0.015515587	-0.003029974	-0.012944901
9/3/1996	0.004462301	-0.021823213	-0.016876373
9/9/1996	0.007747778	0.001595695	0.013449969
9/16/1996	0.010860268	0	-0.001033215
9/23/1996	0.007607336	-0.018991542	-0.016874753
9/30/1996	-0.016103963	0.013649599	0.016874753
10/7/1996	-0.011077593	0.005341943	0.008704956
10/14/1996	0.01427164	-0.003197274	0.02527398
10/21/1996	-0.019918229	-0.00700925	0.007115853
10/28/1996	0.004484338	-0.004919688	0
11/4/1996	0.023041893	0.01565681	0.01191194
11/11/1996	0.007386604	-0.003727873	0.00304129
11/18/1996	0.015455054	0.010567297	0.015480263
11/25/1996	0.008040319	0.008272526	0.000876478
12/2/1996	0.011746398	-0.005151834	-0.008547639
12/9/1996	-0.007823822	-0.005213682	0
12/16/1996	0.0097372	-0.001576388	-0.011614054
12/23/1996	0.006672081	0.003669378	0.004864392
12/30/1996	-0.000900093	0.00467267	0.017190289
1/6/1997	-0.031592804	0.013223102	0.023748667
1/13/1997	0.016083617	-0.006561227	-0.00707313
1/20/1997	-0.006931061	0.008560284	0.016732075
1/27/1997	-0.020486888	-0.014706064	-0.025061072
2/3/1997	-0.006376082	0.001544617	-0.013168024
2/10/1997	0.035742113	0.006630579	0.015016997
2/18/1997	-0.011908613	0.005032437	-0.001848972
2/24/1997	-0.019542108	-0.003516574	-0.004585138
3/3/1997	-0.005301914	-0.008146443	-0.0094653
3/10/1997	-0.004344368	-0.001544617	0.010328709
3/17/1997	0.006454602	-0.005188765	-0.007540528
3/24/1997	-0.008596511	-0.012174805	-0.005742577
3/31/1997	0.009693445	0	-0.017697888
4/7/1997	0.021723703	0.018908187	-0.008103326
4/14/1997	-0.006121852	0.025935734	0.025801214
4/21/1997	0.028710764	0	-0.010653465
4/28/1997	0.028785482	0.011467187	0.016396042
5/5/1997	0.01411847	0.0229596	0.006677119
5/12/1997	-0.007001866	0	-0.014499797
5/19/1997	-0.019878226	0.008854425	0.015363206
5/27/1997	-0.009315845	0.00131273	-0.000863409
6/2/1997	0.013899888	0.007364771	-0.005800346
6/9/1997	-0.000865677	0.002569797	0.004790862
6/16/1997	-0.004672859	0.004249491	-0.012449017
6/23/1997	0.000954494	0.002950095	0.001335151
6/30/1997	0	0.010785327	0.008797623
7/7/1997	-0.005597686	0.004077912	-0.015063746
7/14/1997	0.012064511	-0.004487818	0
7/21/1997	0.008065701	0.006512504	0.014628072
7/28/1997	-0.007205479	0.005220431	0.054161039
8/4/1997	-0.028158951	0.003973445	-0.011568007
8/11/1997	0.003900254	-0.012031087	-0.018157082
8/18/1997	-0.030896568	0.032126588	0.035711938
8/25/1997	0.001063145	0.000377483	-0.014012788
9/2/1997	0.0210713	0.018829144	0.021910409
9/8/1997	-0.003895044	-0.006186117	0.003341219
9/15/1997	0.029588817	0.00906702	0.019524849
9/22/1997	0.014686177	-0.012008907	-0.022866068
9/29/1997	0	0.024392889	0.011764904
10/6/1997	-0.000922722	0.025075444	0.013803397
10/13/1997	0.027874746	-0.016441075	-0.003055941
10/20/1997	-0.033686606	-0.008983341	-0.009178515
10/27/1997	-0.025792935	-0.022570483	-0.025426352
11/3/1997	-0.030963718	0.020119802	0.003815203
11/10/1997	0.008713466	-0.023071688	-0.020746367
11/17/1997	0.012031087	-0.005214576	0.005673683
11/24/1997	0.01882583	0.001122692	-0.007937373
12/1/1997	-0.004733057	0.03135631	0.016246997
12/8/1997	-0.003873608	0.006899184	-0.005174854
12/15/1997	-0.005834019	-0.010039937	-0.003134771
12/22/1997	0.006826314	0.008325389	0.005600516
12/29/1997	0.008587215	0.013530517	0.012123007
1/5/1998	-0.018360193	-0.042292847	-0.034699188
1/12/1998	0.027653697	0.04890324	0.009038292
1/20/1998	-0.008403638	-0.008948009	-0.003350537
1/26/1998	-0.010469376	0.030074824	0.006675423
2/2/1998	-0.00190826	0.003733213	0.019178409
2/9/1998	-0.018863171	0.018199359	0.0201861
2/17/1998	-0.009215445	0.012877599	0.021483074
2/23/1998	0.019258872	0.010259402	0.018156977
3/2/1998	-0.002980172	0.025167678	0.032137345
3/9/1998	-0.010638433	-0.004810696	-0.014072935
3/16/1998	-0.010815812	0.030858123	-0.006511604
3/23/1998	0.008533281	0.009654136	-0.015547366
3/30/1998	-0.017879162	0.001222333	-0.005271037
4/6/1998	0.025470238	0.025135406	-0.000338631
4/13/1998	-0.014869429	0.017608945	0.009604229
4/20/1998	0.012353784	-0.031181752	-0.009265598
4/27/1998	-0.013429215	0.017015054	0.006828846
5/4/1998	-0.006873609	-0.009474211	0.000776814
5/11/1998	-0.000547315	0.019863446	0.034617093
5/18/1998	-0.001096704	0.02682751	0.012413584
5/26/1998	-0.006453231	0.007488021	-0.024244559
6/1/1998	-0.008724645	0.027370907	0.019945074
6/8/1998	-0.006107516	-0.024288605	-0.032215603
6/15/1998	0.020277642	0.022736859	-0.014973359
6/22/1998	-0.016450391	0.026751654	-0.004164577
6/29/1998	0.013782331	-0.005146165	0.012815263
7/6/1998	-0.003800275	0	0.014470623
7/13/1998	0.014915613	0.007514884	-0.008147951
7/20/1998	-0.016034209	-0.009367679	0.007297435
7/27/1998	-0.00715214	-0.001674301	0.007595336
8/3/1998	-0.007271899	-0.038772471	-0.007595336
8/10/1998	-0.024409449	-0.027987966	-0.017259005
8/17/1998	0.002442722	-0.007232929	-0.017627274
8/24/1998	-0.047576918	-0.003550716	-0.027859621
8/31/1998	0.029336149	-0.056308079	-0.035202936
9/8/1998	0.001268323	0.014469506	0.000932392
9/14/1998	-0.016345767	0.01613589	0.00476379
9/21/1998	0.002948823	0.029695204	0.010916414
9/28/1998	0.017493597	-0.047552048	-0.026866685
10/5/1998	0.024986184	0.011186255	-0.033773407
10/12/1998	0.035611642	0.05999793	0.063836739
10/19/1998	-0.016306486	-0.007593492	0.009949475
10/26/1998	-0.004460181	0.040017077	0.020310905
